name,state
Professor Jayashankar Telangana State Agricultural University,Telangana
Sri Konda Laxman Telangana State Horticultural University,Telangana
Nizam's Institute of Medical Sciences,Telangana
Maharaja Bir Bikram University,Tripura
Siddharth University,Uttar Pradesh
Harcourt Butler Technical University,Uttar Pradesh
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Uttar Pradesh
Allahabad State University,Uttar Pradesh
Uttar Pradesh University of Medical Sciences,Uttar Pradesh
Banda University of Agriculture & Technology,Uttar Pradesh
Jananayak Chandrashekhar University,Uttar Pradesh
Dr. Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh
King Georges Medical University,Uttar Pradesh
University of Lucknow,Uttar Pradesh
Narendra Deo University of Agriculture & Technology,Uttar Pradesh
Mahatam Gandhi Kashi Vidyapeeth,Uttar Pradesh
Mahatma Jyotiba Phule Rohilkhand University,Uttar Pradesh
Dr. B.R. Ambedkar University,Uttar Pradesh
Dr. Ram Manohar Lohia Awadh University,Uttar Pradesh
Dr. Ram Manohar Lohiya National Law University,Uttar Pradesh
Dr. Shakuntala Misra National Rehabilitation University,Uttar Pradesh
Deen Dayal Upadhyay Gorakhpur University,Uttar Pradesh
Gautam Buddha University,Uttar Pradesh
Bundelkhand University,Uttar Pradesh
Chandra Shekhar Azad University of Agriculture & Technology,Uttar Pradesh
Chhatrapati Shahuji Maharaj Kanpur University,Uttar Pradesh
Chaudhary Charan Singh University,Uttar Pradesh
U.P.King George's University of Dental Sciences,Uttar Pradesh
U.P. Rajarshi Tandon Open University,Uttar Pradesh
Veer Bahadur Singh Purvanchal University,Uttar Pradesh
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh
Sardar Vallabh Bhai Patel University of Agriculture & Technology,Uttar Pradesh
Sampurnanand Sanskrit Vishwavidyalaya,Uttar Pradesh
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Uttar Pradesh
Madan Mohan Malaviya University of Technology,Uttar Pradesh
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,Uttarakhand
Hemvati Nandan Bahuguna Medical Education University,Uttarakhand
Uttarakhand Ayurved University,Uttarakhand
Sri Dev Suman Uttarakhand Vishwavidyalaya,Uttarakhand
